"Time","Current"
0.000,0.0093
0.005,0.0090
0.010,0.0105
0.015,0.0093
0.020,0.0096
0.025,0.0093
0.030,0.0102
0.035,0.0093
0.040,0.0090
0.045,0.0093
0.050,0.0099
0.055,0.0090
0.060,0.0093
0.065,0.0093
0.070,0.0096
0.075,0.0081
0.080,0.0087
0.085,0.0087
0.090,0.0093
0.095,0.0081
0.100,0.0084
0.105,0.0084
0.110,0.0090
0.115,0.0081
0.120,0.0081
0.125,0.0081
0.130,0.0090
0.135,0.0081
0.140,0.0084
0.145,0.0081
0.150,0.0096
0.155,0.0087
0.160,0.0087
0.165,0.0093
0.170,0.0105
0.175,0.0093
0.180,0.0096
0.185,0.0102
0.190,0.0117
0.195,0.0102
0.200,0.0102
0.205,0.0111
0.210,0.0117
0.215,0.0105
0.220,0.0111
0.225,0.0111
0.230,0.0123
0.235,0.0108
0.240,0.0117
0.245,0.0114
0.250,0.0120
0.255,0.0108
0.260,0.0111
0.265,0.0117
0.270,0.0129
0.275,0.0117
0.280,0.0111
0.285,0.0117
0.290,0.0129
0.295,0.0114
0.300,0.0111
0.305,0.0114
0.310,0.0135
0.315,0.0114
0.320,0.0111
0.325,0.0117
0.330,0.0129
0.335,0.0111
0.340,0.0111
0.345,0.0108
0.350,0.0123
0.355,0.0105
0.360,0.0102
0.365,0.0102
0.370,0.0126
0.375,0.0105
0.380,0.0108
0.385,0.0105
0.390,0.0120
0.395,0.0108
0.400,0.0111
0.405,0.0108
0.410,0.0123
0.415,0.0111
0.420,0.0108
0.425,0.0114
0.430,0.0126
0.435,0.0111
0.440,0.0111
0.445,0.0111
0.450,0.0129
0.455,0.0114
0.460,0.0117
0.465,0.0111
0.470,0.0135
0.475,0.0114
0.480,0.0117
0.485,0.0114
0.490,0.0138
0.495,0.0120
0.500,0.0123
0.505,0.0120
0.510,0.0144
0.515,0.0126
0.520,0.0129
0.525,0.0123
0.530,0.0144
0.535,0.0126
0.540,0.0126
0.545,0.0120
0.550,0.0144
0.555,0.0123
0.560,0.0123
0.565,0.0117
0.570,0.0144
0.575,0.0120
0.580,0.0120
0.585,0.0126
0.590,0.0144
0.595,0.0123
0.600,0.0126
0.605,0.0126
0.610,0.0144
0.615,0.0132
0.620,0.0129
0.625,0.0129
0.630,0.0147
0.635,0.0129
0.640,0.0129
0.645,0.0126
0.650,0.0144
0.655,0.0129
0.660,0.0126
0.665,0.0123
0.670,0.0144
0.675,0.0126
0.680,0.0126
0.685,0.0126
0.690,0.0144
0.695,0.0126
0.700,0.0123
0.705,0.0126
0.710,0.0138
0.715,0.0123
0.720,0.0120
0.725,0.0117
0.730,0.0138
0.735,0.0123
0.740,0.0120
0.745,0.0117
0.750,0.0135
0.755,0.0120
0.760,0.0120
0.765,0.0117
0.770,0.0132
0.775,0.0117
0.780,0.0117
0.785,0.0114
0.790,0.0135
0.795,0.0120
0.800,0.0114
0.805,0.0114
0.810,0.0132
0.815,0.0117
0.820,0.0120
0.825,0.0114
0.830,0.0138
0.835,0.0114
0.840,0.0114
0.845,0.0111
0.850,0.0129
0.855,0.0114
0.860,0.0114
0.865,0.0114
0.870,0.0135
0.875,0.0114
0.880,0.0117
0.885,0.0114
0.890,0.0135
0.895,0.0114
0.900,0.0114
0.905,0.0114
0.910,0.0129
0.915,0.0114
0.920,0.0117
0.925,0.0111
0.930,0.0135
0.935,0.0117
0.940,0.0117
0.945,0.0114
0.950,0.0135
0.955,0.0117
0.960,0.0117
0.965,0.0120
0.970,0.0132
0.975,0.0120
0.980,0.0123
0.985,0.0120
0.990,0.0135
0.995,0.0123
1.000,0.0120
1.005,0.0123
1.010,0.0135
1.015,0.0120
1.020,0.0126
1.025,0.0123
1.030,0.0126
1.035,0.0120
1.040,0.0123
1.045,0.0120
1.050,0.0126
1.055,0.0120
1.060,0.0120
1.065,0.0120
1.070,0.0123
1.075,0.0120
1.080,0.0120
1.085,0.0117
1.090,0.0120
1.095,0.0120
1.100,0.0120
1.105,0.0114
1.110,0.0123
1.115,0.0117
1.120,0.0114
1.125,0.0117
1.130,0.0117
1.135,0.0117
1.140,0.0120
1.145,0.0117
1.150,0.0123
1.155,0.0129
1.160,0.0126
1.165,0.0126
1.170,0.0126
1.175,0.0129
1.180,0.0129
1.185,0.0117
1.190,0.0126
1.195,0.0120
1.200,0.0123
1.205,0.0117
1.210,0.0120
1.215,0.0120
1.220,0.0123
1.225,0.0117
1.230,0.0126
1.235,0.0120
1.240,0.0120
1.245,0.0123
1.250,0.0126
1.255,0.0126
1.260,0.0126
1.265,0.0129
1.270,0.0135
1.275,0.0132
1.280,0.0138
1.285,0.0138
1.290,0.0147
1.295,0.0147
1.300,0.0147
1.305,0.0144
1.310,0.0147
1.315,0.0144
1.320,0.0141
1.325,0.0141
1.330,0.0147
1.335,0.0144
1.340,0.0150
1.345,0.0159
1.350,0.0165
1.355,0.0168
1.360,0.0162
1.365,0.0174
1.370,0.0168
1.375,0.0162
1.380,0.0159
1.385,0.0153
1.390,0.0153
1.395,0.0150
1.400,0.0159
1.405,0.0165
1.410,0.0174
1.415,0.0177
1.420,0.0183
1.425,0.0180
1.430,0.0183
1.435,0.0183
1.440,0.0177
1.445,0.0168
1.450,0.0162
1.455,0.0156
1.460,0.0150
1.465,0.0141
1.470,0.0144
1.475,0.0138
1.480,0.0138
1.485,0.0138
1.490,0.0144
1.495,0.0147
1.500,0.0159
1.505,0.0162
1.510,0.0174
1.515,0.0183
1.520,0.0189
1.525,0.0198
1.530,0.0211
1.535,0.0213
1.540,0.0216
1.545,0.0216
1.550,0.0216
1.555,0.0213
1.560,0.0211
1.565,0.0208
1.570,0.0204
1.575,0.0192
1.580,0.0186
1.585,0.0177
1.590,0.0174
1.595,0.0168
1.600,0.0162
1.605,0.0162
1.610,0.0168
1.615,0.0165
1.620,0.0171
1.625,0.0174
1.630,0.0186
1.635,0.0192
1.640,0.0204
1.645,0.0213
1.650,0.0229
1.655,0.0235
1.660,0.0235
1.665,0.0247
1.670,0.0256
1.675,0.0259
1.680,0.0250
1.685,0.0256
1.690,0.0259
1.695,0.0250
1.700,0.0247
1.705,0.0247
1.710,0.0241
1.715,0.0235
1.720,0.0232
1.725,0.0226
1.730,0.0226
1.735,0.0213
1.740,0.0211
1.745,0.0213
1.750,0.0216
1.755,0.0216
1.760,0.0220
1.765,0.0220
1.770,0.0229
1.775,0.0229
1.780,0.0235
1.785,0.0238
1.790,0.0247
1.795,0.0244
1.800,0.0241
1.805,0.0244
1.810,0.0253
1.815,0.0253
1.820,0.0253
1.825,0.0256
1.830,0.0259
1.835,0.0256
1.840,0.0256
1.845,0.0259
1.850,0.0268
1.855,0.0268
1.860,0.0274
1.865,0.0274
1.870,0.0283
1.875,0.0283
1.880,0.0286
1.885,0.0289
1.890,0.0301
1.895,0.0298
1.900,0.0298
1.905,0.0301
1.910,0.0310
1.915,0.0310
1.920,0.0310
1.925,0.0313
1.930,0.0322
1.935,0.0319
1.940,0.0319
1.945,0.0322
1.950,0.0331
1.955,0.0328
1.960,0.0322
1.965,0.0331
1.970,0.0334
1.975,0.0331
1.980,0.0331
1.985,0.0337
1.990,0.0343
1.995,0.0337
2.000,0.0334
2.005,0.0340
2.010,0.0352
2.015,0.0343
2.020,0.0346
2.025,0.0352
2.030,0.0358
2.035,0.0355
2.040,0.0355
2.045,0.0361
2.050,0.0370
2.055,0.0367
2.060,0.0364
2.065,0.0367
2.070,0.0382
2.075,0.0376
2.080,0.0382
2.085,0.0382
2.090,0.0400
2.095,0.0385
2.100,0.0391
2.105,0.0397
2.110,0.0406
2.115,0.0403
2.120,0.0403
2.125,0.0410
2.130,0.0422
2.135,0.0410
2.140,0.0410
2.145,0.0418
2.150,0.0428
2.155,0.0410
2.160,0.0410
2.165,0.0410
2.170,0.0422
2.175,0.0403
2.180,0.0400
2.185,0.0394
2.190,0.0406
2.195,0.0391
2.200,0.0385
2.205,0.0382
2.210,0.0394
2.215,0.0376
2.220,0.0373
2.225,0.0370
2.230,0.0382
2.235,0.0367
2.240,0.0358
2.245,0.0355
2.250,0.0367
2.255,0.0346
2.260,0.0343
2.265,0.0334
2.270,0.0352
2.275,0.0331
2.280,0.0322
2.285,0.0319
2.290,0.0325
2.295,0.0310
2.300,0.0304
2.305,0.0298
2.310,0.0310
2.315,0.0295
2.320,0.0289
2.325,0.0283
2.330,0.0295
2.335,0.0277
2.340,0.0274
2.345,0.0271
2.350,0.0280
2.355,0.0265
2.360,0.0265
2.365,0.0259
2.370,0.0271
2.375,0.0253
2.380,0.0256
2.385,0.0247
2.390,0.0259
2.395,0.0247
2.400,0.0247
2.405,0.0238
2.410,0.0253
2.415,0.0235
2.420,0.0235
2.425,0.0226
2.430,0.0244
2.435,0.0226
2.440,0.0216
2.445,0.0213
2.450,0.0226
2.455,0.0211
2.460,0.0211
2.465,0.0208
2.470,0.0216
2.475,0.0198
2.480,0.0192
2.485,0.0186
2.490,0.0201
2.495,0.0189
2.500,0.0183
2.505,0.0177
2.510,0.0192
2.515,0.0174
2.520,0.0162
2.525,0.0159
2.530,0.0174
2.535,0.0156
2.540,0.0150
2.545,0.0144
2.550,0.0162
2.555,0.0141
2.560,0.0141
2.565,0.0138
2.570,0.0150
2.575,0.0138
2.580,0.0138
2.585,0.0129
2.590,0.0141
2.595,0.0135
2.600,0.0135
2.605,0.0132
2.610,0.0150
2.615,0.0135
2.620,0.0129
2.625,0.0129
2.630,0.0144
2.635,0.0135
2.640,0.0138
2.645,0.0135
2.650,0.0150
2.655,0.0138
2.660,0.0144
2.665,0.0138
2.670,0.0162
2.675,0.0144
2.680,0.0150
2.685,0.0144
2.690,0.0162
2.695,0.0150
2.700,0.0144
2.705,0.0144
2.710,0.0159
2.715,0.0144
2.720,0.0147
2.725,0.0138
2.730,0.0156
2.735,0.0135
2.740,0.0138
2.745,0.0132
2.750,0.0141
2.755,0.0129
2.760,0.0126
2.765,0.0123
2.770,0.0135
2.775,0.0114
2.780,0.0114
2.785,0.0108
2.790,0.0117
2.795,0.0102
2.800,0.0093
2.805,0.0093
2.810,0.0105
2.815,0.0087
2.820,0.0084
2.825,0.0087
2.830,0.0096
2.835,0.0081
2.840,0.0081
2.845,0.0078
2.850,0.0090
2.855,0.0072
2.860,0.0069
2.865,0.0066
2.870,0.0081
2.875,0.0066
2.880,0.0066
2.885,0.0063
2.890,0.0072
2.895,0.0060
2.900,0.0057
2.905,0.0054
2.910,0.0069
2.915,0.0054
2.920,0.0054
2.925,0.0054
2.930,0.0063
2.935,0.0048
2.940,0.0048
2.945,0.0048
2.950,0.0060
2.955,0.0042
2.960,0.0042
2.965,0.0045
2.970,0.0054
2.975,0.0042
2.980,0.0039
2.985,0.0039
2.990,0.0054
2.995,0.0039
3.000,0.0039
3.005,0.0039
3.010,0.0054
3.015,0.0039
3.020,0.0042
3.025,0.0042
3.030,0.0054
3.035,0.0045
3.040,0.0045
3.045,0.0048
3.050,0.0063
3.055,0.0048
3.060,0.0048
3.065,0.0051
3.070,0.0066
3.075,0.0060
3.080,0.0057
3.085,0.0063
3.090,0.0081
3.095,0.0069
3.100,0.0072
3.105,0.0078
3.110,0.0102
3.115,0.0087
3.120,0.0093
3.125,0.0093
3.130,0.0114
3.135,0.0105
3.140,0.0114
3.145,0.0117
3.150,0.0132
3.155,0.0126
3.160,0.0129
3.165,0.0129
3.170,0.0150
3.175,0.0138
3.180,0.0141
3.185,0.0144
3.190,0.0162
3.195,0.0153
3.200,0.0156
3.205,0.0159
3.210,0.0177
3.215,0.0165
3.220,0.0165
3.225,0.0168
3.230,0.0186
3.235,0.0174
3.240,0.0177
3.245,0.0177
3.250,0.0189
3.255,0.0183
3.260,0.0177
3.265,0.0177
3.270,0.0192
3.275,0.0177
3.280,0.0177
3.285,0.0174
3.290,0.0186
3.295,0.0174
3.300,0.0174
3.305,0.0171
3.310,0.0180
3.315,0.0171
3.320,0.0165
3.325,0.0165
3.330,0.0177
3.335,0.0162
3.340,0.0162
3.345,0.0159
3.350,0.0165
3.355,0.0153
3.360,0.0147
3.365,0.0147
3.370,0.0159
3.375,0.0141
3.380,0.0141
3.385,0.0135
3.390,0.0150
3.395,0.0135
3.400,0.0129
3.405,0.0126
3.410,0.0138
3.415,0.0120
3.420,0.0120
3.425,0.0117
3.430,0.0126
3.435,0.0111
3.440,0.0114
3.445,0.0105
3.450,0.0120
3.455,0.0105
3.460,0.0102
3.465,0.0099
3.470,0.0108
3.475,0.0093
3.480,0.0090
3.485,0.0093
3.490,0.0096
3.495,0.0084
3.500,0.0087
3.505,0.0084
3.510,0.0093
3.515,0.0078
3.520,0.0075
3.525,0.0075
3.530,0.0090
3.535,0.0072
3.540,0.0069
3.545,0.0069
3.550,0.0081
3.555,0.0069
3.560,0.0069
3.565,0.0069
3.570,0.0081
3.575,0.0069
3.580,0.0072
3.585,0.0069
3.590,0.0084
3.595,0.0078
3.600,0.0078
3.605,0.0078
3.610,0.0090
3.615,0.0084
3.620,0.0084
3.625,0.0084
3.630,0.0102
3.635,0.0096
3.640,0.0096
3.645,0.0096
3.650,0.0111
3.655,0.0102
3.660,0.0105
3.665,0.0105
3.670,0.0117
3.675,0.0114
3.680,0.0117
3.685,0.0117
3.690,0.0129
3.695,0.0117
3.700,0.0117
3.705,0.0120
3.710,0.0129
3.715,0.0126
3.720,0.0126
3.725,0.0126
3.730,0.0141
3.735,0.0126
3.740,0.0132
3.745,0.0126
3.750,0.0138
3.755,0.0132
3.760,0.0129
3.765,0.0129
3.770,0.0138
3.775,0.0129
3.780,0.0129
3.785,0.0126
3.790,0.0135
3.795,0.0126
3.800,0.0123
3.805,0.0126
3.810,0.0135
3.815,0.0120
3.820,0.0117
3.825,0.0114
3.830,0.0120
3.835,0.0111
3.840,0.0102
3.845,0.0105
3.850,0.0120
3.855,0.0102
3.860,0.0096
3.865,0.0093
3.870,0.0111
3.875,0.0090
3.880,0.0090
3.885,0.0090
3.890,0.0099
3.895,0.0081
3.900,0.0078
3.905,0.0075
3.910,0.0096
3.915,0.0075
3.920,0.0075
3.925,0.0072
3.930,0.0087
3.935,0.0072
3.940,0.0072
3.945,0.0066
3.950,0.0087
3.955,0.0069
3.960,0.0066
3.965,0.0060
